0, 0, 0
0.0176759, 0.050671, 0.0633387
0.0334298, 0.0958322, 0.11979
0.0474623, 0.136059, 0.170073
0.0599876, 0.171965, 0.214956
0.22408, 0.642364, 0.802955
0, 0, 0
0.0471083, 0.135044, 0.168805
0.0846449, 0.242649, 0.303311
0.114579, 0.32846, 0.410574
0.138475, 0.396962, 0.496202
0.216191, 0.619747, 0.774684
0, 0, 0
0.0596187, 0.170907, 0.213634
0.104032, 0.298224, 0.37278
0.137147, 0.393156, 0.491445
0.161857, 0.46399, 0.579987
0.216846, 0.621624, 0.77703
0, 0, 0
0.0671829, 0.192591, 0.240739
0.115107, 0.329974, 0.412467
0.149313, 0.42803, 0.535038
0.173748, 0.498077, 0.622596
0.217826, 0.624434, 0.780542
0, 0, 0
0.0719258, 0.206188, 0.257734
0.121798, 0.349153, 0.436442
0.156399, 0.448343, 0.560428
0.180421, 0.517207, 0.646508
0.218608, 0.626676, 0.783344
0, 0, 0
0.0746649, 0.21404, 0.267549
0.125576, 0.359985, 0.449982
0.16031, 0.459555, 0.574443
0.18402, 0.527525, 0.659406
0.219098, 0.628081, 0.785101
0, 0, 0
0.0757546, 0.217163, 0.271454
0.127061, 0.364241, 0.455301
0.161829, 0.463911, 0.579888
0.185403, 0.531488, 0.66436
0.219304, 0.628672, 0.78584
0, 0, 0
0.0753277, 0.21594, 0.269924
0.126482, 0.362583, 0.453229
0.161239, 0.462217, 0.577771
0.184866, 0.52995, 0.662437
0.219222, 0.628436, 0.785545
0, 0, 0
0.0733504, 0.210271, 0.262839
0.123771, 0.35481, 0.443512
0.158447, 0.454216, 0.56777
0.182312, 0.522627, 0.653283
0.218859, 0.627396, 0.784244
0, 0, 0
0.0695487, 0.199373, 0.249216
0.118469, 0.339611, 0.424513
0.1529, 0.438314, 0.547892
0.17715, 0.507831, 0.634789
0.218205, 0.625523, 0.781903
0, 0, 0
0.0633919, 0.181724, 0.227154
0.109615, 0.31423, 0.392788
0.143349, 0.410935, 0.513668
0.167985, 0.481557, 0.601946
0.217291, 0.622901, 0.778626
0, 0, 0
0.0535443, 0.153494, 0.191867
0.0947818, 0.271708, 0.339635
0.126575, 0.362848, 0.45356
